Identifikácia a flow,,,,,,,W11 – údaje o zvierati,,,Interné spracovanie,,
ID,Typ situácie,Kategória,Podkategória,Druh zvieraťa,W02 – akútna vetva,Poradie framov,Univerzálne checkboxy,Druhovo špecifické checkboxy,Placeholder voľného opisu,Interný návrh orgánu,Dôvod prečo tento orgán ,Poznámka pre IT / dizajn
TYR-030,Týrané / zanedbávané,Vtáky,Dravce,Haja,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Podozrenie na odobratie z voľnej prírody alebo z hniezda
• Podozrenie na chýbajúce povolenie, doklad o pôvode alebo označenie
• Nevhodné podmienky chovu alebo neliečené zranenie
• Je ponúkané na internete alebo na predaj","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS + SIŽP,"Voľne žijúci vták/chránený živočích – welfare RVPS, ochrana druhu a držba SIŽP.",
TYR-031,Týrané / zanedbávané,Vtáky,Dravce,Kaňa,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Podozrenie na odobratie z voľnej prírody alebo z hniezda
• Podozrenie na chýbajúce povolenie, doklad o pôvode alebo označenie
• Nevhodné podmienky chovu alebo neliečené zranenie
• Je ponúkané na internete alebo na predaj","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS + SIŽP,"Voľne žijúci vták/chránený živočích – welfare RVPS, ochrana druhu a držba SIŽP.",
TYR-032,Týrané / zanedbávané,Vtáky,Sovy,Sova,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Podozrenie na odobratie z voľnej prírody alebo z hniezda
• Podozrenie na chýbajúce povolenie, doklad o pôvode alebo označenie
• Nevhodné podmienky chovu alebo neliečené zranenie
• Je ponúkané na internete alebo na predaj","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS + SIŽP,"Voľne žijúci vták/chránený živočích – welfare RVPS, ochrana druhu a držba SIŽP.",
TYR-033,Týrané / zanedbávané,Vtáky,Sovy,Výr,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Podozrenie na odobratie z voľnej prírody alebo z hniezda
• Podozrenie na chýbajúce povolenie, doklad o pôvode alebo označenie
• Nevhodné podmienky chovu alebo neliečené zranenie
• Je ponúkané na internete alebo na predaj","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS + SIŽP,"Voľne žijúci vták/chránený živočích – welfare RVPS, ochrana druhu a držba SIŽP.",
TYR-034,Týrané / zanedbávané,Vtáky,Sovy,Kuvik,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Podozrenie na odobratie z voľnej prírody alebo z hniezda
• Podozrenie na chýbajúce povolenie, doklad o pôvode alebo označenie
• Nevhodné podmienky chovu alebo neliečené zranenie
• Je ponúkané na internete alebo na predaj","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS + SIŽP,"Voľne žijúci vták/chránený živočích – welfare RVPS, ochrana druhu a držba SIŽP.",
TYR-035,Týrané / zanedbávané,Vtáky,Sovy,Myšiarka,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Podozrenie na odobratie z voľnej prírody alebo z hniezda
• Podozrenie na chýbajúce povolenie, doklad o pôvode alebo označenie
• Nevhodné podmienky chovu alebo neliečené zranenie
• Je ponúkané na internete alebo na predaj","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS + SIŽP,"Voľne žijúci vták/chránený živočích – welfare RVPS, ochrana druhu a držba SIŽP.",
TYR-036,Týrané / zanedbávané,Vtáky,Sovy,Plamienka,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Podozrenie na odobratie z voľnej prírody alebo z hniezda
• Podozrenie na chýbajúce povolenie, doklad o pôvode alebo označenie
• Nevhodné podmienky chovu alebo neliečené zranenie
• Je ponúkané na internete alebo na predaj","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS + SIŽP,"Voľne žijúci vták/chránený živočích – welfare RVPS, ochrana druhu a držba SIŽP.",
TYR-037,Týrané / zanedbávané,Vtáky,Krkavcovité vtáky,Vrana,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Podozrenie na odobratie z voľnej prírody alebo z hniezda
• Podozrenie na chýbajúce povolenie, doklad o pôvode alebo označenie
• Nevhodné podmienky chovu alebo neliečené zranenie
• Je ponúkané na internete alebo na predaj","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS + SIŽP,"Voľne žijúci vták/chránený živočích – welfare RVPS, ochrana druhu a držba SIŽP.",
TYR-038,Týrané / zanedbávané,Vtáky,Krkavcovité vtáky,Havran,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Podozrenie na odobratie z voľnej prírody alebo z hniezda
• Podozrenie na chýbajúce povolenie, doklad o pôvode alebo označenie
• Nevhodné podmienky chovu alebo neliečené zranenie
• Je ponúkané na internete alebo na predaj","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS + SIŽP,"Voľne žijúci vták/chránený živočích – welfare RVPS, ochrana druhu a držba SIŽP.",
TYR-039,Týrané / zanedbávané,Vtáky,Krkavcovité vtáky,Krkavec,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Podozrenie na odobratie z voľnej prírody alebo z hniezda
• Podozrenie na chýbajúce povolenie, doklad o pôvode alebo označenie
• Nevhodné podmienky chovu alebo neliečené zranenie
• Je ponúkané na internete alebo na predaj","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS + SIŽP,"Voľne žijúci vták/chránený živočích – welfare RVPS, ochrana druhu a držba SIŽP.",
TYR-040,Týrané / zanedbávané,Vtáky,Krkavcovité vtáky,Straka,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Podozrenie na odobratie z voľnej prírody alebo z hniezda
• Podozrenie na chýbajúce povolenie, doklad o pôvode alebo označenie
• Nevhodné podmienky chovu alebo neliečené zranenie
• Je ponúkané na internete alebo na predaj","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS + SIŽP,"Voľne žijúci vták/chránený živočích – welfare RVPS, ochrana druhu a držba SIŽP.",
TYR-041,Týrané / zanedbávané,Vtáky,Krkavcovité vtáky,Sojka,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Podozrenie na odobratie z voľnej prírody alebo z hniezda
• Podozrenie na chýbajúce povolenie, doklad o pôvode alebo označenie
• Nevhodné podmienky chovu alebo neliečené zranenie
• Je ponúkané na internete alebo na predaj","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS + SIŽP,"Voľne žijúci vták/chránený živočích – welfare RVPS, ochrana druhu a držba SIŽP.",
TYR-042,Týrané / zanedbávané,Vtáky,Krkavcovité vtáky,Kavka,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Podozrenie na odobratie z voľnej prírody alebo z hniezda
• Podozrenie na chýbajúce povolenie, doklad o pôvode alebo označenie
• Nevhodné podmienky chovu alebo neliečené zranenie
• Je ponúkané na internete alebo na predaj","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS + SIŽP,"Voľne žijúci vták/chránený živočích – welfare RVPS, ochrana druhu a držba SIŽP.",
TYR-043,Týrané / zanedbávané,Vtáky,Vodné vtáky,Labuť,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Podozrenie na odobratie z voľnej prírody alebo z hniezda
• Podozrenie na chýbajúce povolenie, doklad o pôvode alebo označenie
• Nevhodné podmienky chovu alebo neliečené zranenie
• Je ponúkané na internete alebo na predaj","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS + SIŽP,"Voľne žijúci vták/chránený živočích – welfare RVPS, ochrana druhu a držba SIŽP.",
TYR-044,Týrané / zanedbávané,Vtáky,Vodné vtáky,Kačica,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Podozrenie na odobratie z voľnej prírody alebo z hniezda
• Podozrenie na chýbajúce povolenie, doklad o pôvode alebo označenie
• Nevhodné podmienky chovu alebo neliečené zranenie
• Je ponúkané na internete alebo na predaj","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS + SIŽP,"Voľne žijúci vták/chránený živočích – welfare RVPS, ochrana druhu a držba SIŽP.",
